subject,subject_id,relation,object,object_id,surface_text,weight
sumo de maçã,/c/pt/sumo_de_maçã/n/wn/food,Synonym,apple juice,/c/en/apple_juice/n/wn/food,[[sumo de maçã]] is a translation of [[apple juice]],2.0
apple juice,/c/en/apple_juice,DerivedFrom,apple,/c/en/apple/n,,2.0
sok jabłkowy,/c/pl/sok_jabłkowy/n/wn/food,Synonym,apple juice,/c/en/apple_juice/n/wn/food,[[sok jabłkowy]] is a translation of [[apple juice]],2.0
omenamehu,/c/fi/omenamehu/n/wn/food,Synonym,apple juice,/c/en/apple_juice/n/wn/food,[[omenamehu]] is a translation of [[apple juice]],2.0
jus de pomme,/c/fr/jus_de_pomme/n/wn/food,Synonym,apple juice,/c/en/apple_juice/n/wn/food,[[jus de pomme]] is a translation of [[apple juice]],2.0
apple juice,/c/en/apple_juice/n/wn/food,IsA,fruit juice,/c/en/fruit_juice/n/wn/food,[[apple juice]] is a type of [[fruit juice]],2.0
Suco de maçã,/c/pt/suco_de_maçã/n/wn/food,Synonym,apple juice,/c/en/apple_juice/n/wn/food,[[Suco de maçã]] is a translation of [[apple juice]],2.0
sagar-zuku,/c/eu/sagar_zuku/n/wn/food,Synonym,apple juice,/c/en/apple_juice/n/wn/food,[[sagar-zuku]] is a translation of [[apple juice]],2.0
apple juice,/c/en/apple_juice/n,Synonym,jus de pomme,/c/fr/jus_de_pomme,,2.0
zumo de manzana,/c/es/zumo_de_manzana/n/wn/food,Synonym,apple juice,/c/en/apple_juice/n/wn/food,[[zumo de manzana]] is a translation of [[apple juice]],2.0
น้ำแอปเปิ้ล,/c/th/น้ําแอปเปิ้ล/n/wn/food,Synonym,apple juice,/c/en/apple_juice/n/wn/food,[[น้ำแอปเปิ้ล]] is a translation of [[apple juice]],2.0
apple juice,/c/en/apple_juice/n,Synonym,jabučni sok,/c/sh/jabučni_sok,,2.0
jus de pomme,/c/fr/jus_de_pomme/n,Synonym,apple juice,/c/en/apple_juice,,2.0
